Total number of drug-related deaths in latest FIVE years - from SAS output 2016-2020,,,,,,,,,,,,,,,,,,,,,
(''City of Edinburgh' and 'Na h-Eileanan Siar' are in their new alphabetical order),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,All,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,,,age 15-64 only,,,,,,,,,,,
Midlothian,,"9,679","11,338","11,651","12,975","12,025",,,,"57,668",,"91,340",,,,,,,,,
Moray,,"10,451","10,977","11,012","14,271","13,279",,,,"59,990",,"95,520",,,,,,,,,
Na h-Eileanan Siar,,"2,444","2,427","2,986","4,056","4,051",,,,"15,964",,"26,830",,,,,,,,,
North Ayrshire,,"15,336","14,467","14,191","20,046","19,846",,,,"83,886",,"135,280",,,,,,,,,
North Lanarkshire,,"40,118","42,556","43,766","51,720","44,965",,,,"223,125",,"340,180",,,,,,,,,
Orkney Islands,,"2,117","2,454","2,393","3,345","3,323",,,,"13,632",,"22,190",,,,,,,,,
Perth + Kinross,,"15,753","16,769","16,862","22,334","21,566",,,,"93,284",,"151,290",,,,,,,,,
Renfrewshire,,"20,013","23,240","21,355","26,733","24,787",,,,"116,128",,"177,790",,,,,,,,,
Scottish Borders,,"11,380","10,493","11,832","17,728","17,830",,,,"69,263",,"115,270",,,,,,,,,
Shetland Islands,,"2,445","2,675","2,781","3,395","3,196",,,,"14,492",,"22,990",,,,,,,,,
South Ayrshire,,"11,605","11,093","11,615","16,347","17,159",,,,"67,819",,"112,550",,,,,,,,,
South Lanarkshire,,"34,585","36,978","39,474","48,648","45,954",,,,"205,639",,"319,020",,,,,,,,,
Stirling,,"13,775","11,623","10,360","13,860","12,243",,,,"61,861",,"94,330",,,,,,,,,
West Dunbartonshire,,"9,864","11,468","10,254","13,318","13,014",,,,"57,918",,"89,130",,,,,,,,,
West Lothian,,"20,624","22,818","23,982","28,275","23,195",,,,"118,894",,"182,140",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Resulting death rates (per 100,000 population) - NB: formulas take account of the fact that we are using the total deaths in FIVE years",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,,,,age 15-64 only,,All ages (incl. 0-14 and 65+),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
