Numbers  of drug-related deaths - from SAS output ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,,,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,All,,age 15-64 only,,check,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Registration Year,,,,,,,,,,,,,,,,,,,,,,
,,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,,15 to 64,,All ages,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2000,,11.6,17.6,8.9,2.4,0.5,,8.6,,5.77,,,,,,,,,,,,
2001,,12.5,20.1,9.0,4.5,1.5,,9.8,,6.58,,,,,,,,,,,,
2002,,15.6,22.8,11.7,4.0,1.2,,11.3,,7.54,,,,,,,,,,,,
2003,,12.0,18.9,10.2,2.9,1.9,,9.3,,6.29,,,,,,,,,,,,
2004,,12.4,21.6,11.6,5.1,0.3,,10.3,,7.00,,,,,,,,,,,,
2005,,7.1,16.3,15.8,5.3,1.8,,9.5,,6.58,,,,,,,,,,,,
2006,,10.4,24.3,16.0,7.5,2.4,,12.2,,8.18,,,,,,,,,,,,
2007,,14.0,23.3,18.9,6.1,1.7,,12.9,,8.80,,,,,,,,,,,,
2008,,13.6,32.8,22.4,9.5,2.6,,16.2,,11.03,,,,,,,,,,,,
2009,,10.1,27.4,24.8,10.2,3.1,,15.2,,10.42,,,,,,,,,,,,
2010,,9.5,24.5,21.2,9.8,3.0,,13.6,,9.22,,,,,,,,,,,,
2011,,8.4,27.5,29.1,11.9,3.9,,16.2,,11.02,,,,,,,,,,,,
2012,,6.7,25.1,28.1,14.5,5.1,,16.0,,10.93,,,,,,,,,,,,
2013,,4.7,19.9,26.7,15.6,5.9,,14.7,,9.89,,,,,,,,,,,,
2014,,6.8,22.4,31.5,18.4,5.5,,17.0,,11.48,,,,,,,,,,,,
2015,,4.5,22.9,37.2,22.8,9.0,,19.4,,13.14,,,,,,,,,,,,
2016,,6.3,27.4,49.1,26.8,9.5,,23.9,,16.06,,,,,,,,,,,,
2017,,5.6,25.1,54.2,33.8,9.0,,25.7,,17.22,,,,,,,,,,,,
2018,,10.1,29.2,66.4,44.3,12.4,,32.7,,21.83,,,,,,,,,,,,
2019,,12.1,29.3,69.8,52.1,13.3,,35.5,,23.43,,,,,,,,,,,,
2020,,12.5,34.6,61.5,56.4,18.5,,37.0,,24.50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,
